goos: darwin
goarch: arm64
pkg: github.com/ethereum/go-ethereum/core/vm
BenchmarkPrecompiledBLS12381G1Mul/bls_g1mul_(0*g1=inf)-Gas=12000-12         	   16038	     74785 ns/op	     12000 gas/op	       160.4 mgas/s	     656 B/op	       9 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/bls_g1mul_(x*inf=inf)-Gas=12000-12        	   22208	     54057 ns/op	     12000 gas/op	       222.0 mgas/s	     840 B/op	      12 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/bls_g1mul_(1*g1=g1)-Gas=12000-12          	   16029	     74868 ns/op	     12000 gas/op	       160.3 mgas/s	     656 B/op	       9 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/bls_g1mul_(17*g1)-Gas=12000-12            	   14152	     79659 ns/op	     12000 gas/op	       150.6 mgas/s	     840 B/op	      12 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_0-Gas=12000-12              	    9650	    123566 ns/op	     12000 gas/op	        97.11 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_1-Gas=12000-12              	    9636	    124387 ns/op	     12000 gas/op	        96.46 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_2-Gas=12000-12              	    9660	    122549 ns/op	     12000 gas/op	        97.91 mgas/s	    1072 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_3-Gas=12000-12              	    9580	    124046 ns/op	     12000 gas/op	        96.73 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_4-Gas=12000-12              	    9567	    123667 ns/op	     12000 gas/op	        97.03 mgas/s	    1072 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_5-Gas=12000-12              	    9634	    123574 ns/op	     12000 gas/op	        97.10 mgas/s	    1072 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_6-Gas=12000-12              	    9670	    123343 ns/op	     12000 gas/op	        97.28 mgas/s	    1072 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_7-Gas=12000-12              	    9465	    123589 ns/op	     12000 gas/op	        97.09 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_8-Gas=12000-12              	    9514	    124509 ns/op	     12000 gas/op	        96.37 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_9-Gas=12000-12              	    9428	    125402 ns/op	     12000 gas/op	        95.68 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_10-Gas=12000-12             	    9457	    122993 ns/op	     12000 gas/op	        97.56 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_11-Gas=12000-12             	    9494	    124137 ns/op	     12000 gas/op	        96.66 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_12-Gas=12000-12             	    9648	    122476 ns/op	     12000 gas/op	        97.97 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_13-Gas=12000-12             	    9621	    123752 ns/op	     12000 gas/op	        96.96 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_14-Gas=12000-12             	    9536	    123963 ns/op	     12000 gas/op	        96.79 mgas/s	    1072 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_15-Gas=12000-12             	    9486	    123852 ns/op	     12000 gas/op	        96.88 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_16-Gas=12000-12             	    9627	    124126 ns/op	     12000 gas/op	        96.67 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_17-Gas=12000-12             	    9478	    124900 ns/op	     12000 gas/op	        96.07 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_18-Gas=12000-12             	    9627	    123759 ns/op	     12000 gas/op	        96.95 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_19-Gas=12000-12             	    9572	    124064 ns/op	     12000 gas/op	        96.72 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_20-Gas=12000-12             	    9580	    124401 ns/op	     12000 gas/op	        96.45 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_21-Gas=12000-12             	    9573	    124320 ns/op	     12000 gas/op	        96.52 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_22-Gas=12000-12             	    9548	    122893 ns/op	     12000 gas/op	        97.64 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_23-Gas=12000-12             	    9541	    124623 ns/op	     12000 gas/op	        96.28 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_24-Gas=12000-12             	    9496	    127970 ns/op	     12000 gas/op	        93.76 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_25-Gas=12000-12             	    9544	    166047 ns/op	     12000 gas/op	        72.26 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_26-Gas=12000-12             	    9412	    125156 ns/op	     12000 gas/op	        95.87 mgas/s	    1088 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_27-Gas=12000-12             	    9684	    122381 ns/op	     12000 gas/op	        98.05 mgas/s	    1072 B/op	      14 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_28-Gas=12000-12             	    9542	    124779 ns/op	     12000 gas/op	        96.16 mgas/s	    1024 B/op	      13 allocs/op
BenchmarkPrecompiledBLS12381G1Mul/matter_g1_mul_29-Gas=12000-12             	    9492	    124118 ns/op	     12000 gas/op	        96.67 mgas/s	    1088 B/op	      14 allocs/op
